Country	gdpperCapita	BLI	ISO
Australia	44971.470146	8.816545815	AUS
Austria	46171.426401	7.589642512	AUT
Belgium	42838.527686	8.044638422	BEL
Brazil	15065.354984	5.098066842	BRA
Canada	44057.239431	8.527955058	CAN
Switzerland	57246.291237	8.669455241	CHE
Chile	22253.768332	4.624805685	CHL
Czech Republic	30366.372804	6.419390361	CZE
Germany	44985.467088	8.076165472	DEU
Denmark	45381.666652	8.65692557	DNK
Spain	33168.7529	6.798479218	ESP
Estonia	26901.637196	5.784230271	EST
Finland	39986.920468	8.282370492	FIN
France	38869.725026	7.102193339	FRA
United Kingdom	39709.452336	7.814753206	GBR
Greece	25950.391401	4.936743039	GRC
Hungary	24708.540611	5.500103331	HUN
Ireland	48732.691738	8.080588365	IRL
Iceland	43330.141595	8.32160673	ISL
Israel	33242.592674	6.377360629	ISR
Italy	35015.256371	6.402890624	ITA
Japan	36455.88494	6.620330773	JPN
Korea	34355.699181	5.838186431	KOR
Luxembourg	97272.567201	7.98914331	LUX
Mexico	17830.718192	3.505775661	MEX
Netherlands	47634.755297	8.202830185	NLD
Norway	64940.385055	8.742414522	NOR
New Zealand	36810.028021	8.397893989	NZL
Poland	24430.37814	6.035004944	POL
Portugal	28382.468992	5.457860644	PRT
Russian Federation	25150.88357	5.052760292	RUS
Slovak Republic	27711.182174	6.024365556	SVK
Slovenia	29968.743758	6.520935847	SVN
Sweden	45153.328831	8.750539397	SWE
Turkey	19027.412092	3.916605729	TUR
United States	54353.192469	8.43546187	USA
